"filename", "language", "JavaScript", "HTML", "PHP", "XML", "JSON", "Markdown", "CSS", "SCSS", "Less", "YAML", "comment", "blank", "total"
"/media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/config/view.php", "PHP", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 20, 7, 37
"/media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/database/factories/UserFactory.php", "PHP", 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 20, 8, 70
"/media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/database/migrations/2014_10_12_000000_create_users_table.php", "PHP", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 10, 5, 46
"/media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/database/migrations/2014_10_12_100000_create_password_resets_table.php", "PHP", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 10, 4, 33
"/media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/database/migrations/2014_10_12_200000_add_two_factor_columns_to_users_table.php", "PHP", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 10, 5, 39
"/media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/database/migrations/2019_08_19_000000_create_failed_jobs_table.php", "PHP", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 10, 4, 37
"/media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/database/migrations/2019_12_14_000001_create_personal_access_tokens_table.php", "PHP", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 10, 4, 37
"/media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/database/migrations/2021_08_16_034739_create_employees_table.php", "PHP", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 10, 4, 37
"/media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/database/migrations/2021_08_19_060805_create_sessions_table.php", "PHP", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 10, 4, 36
"/media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/database/migrations/2021_08_30_061529_add_pekerjaan_to_users_table.php", "PHP", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 11, 4, 33
"/media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/database/seeders/DatabaseSeeder.php", "PHP", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 6, 4, 19
"/media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/package-lock.json", "JSON", 0, 0, 0, 0, 7282, 0, 0, 0, 0, 0, 0, 1, 7283
"/media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/package.json", "JSON", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 1, 24
"/media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/phpunit.xml", "XML", 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 2, 1, 32
"/media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/public/css/app.css", "CSS", 0, 0, 0, 0, 0, 0, 1835, 0, 0, 0, 211, 177, 2223
"/media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/public/css/bootstrap-grid.css", "CSS", 0, 0, 0, 0, 0, 0, 3511, 0, 0, 0, 7, 201, 3719
"/media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/public/css/bootstrap-grid.min.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 6, 0, 7
"/media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/public/css/bootstrap-reboot.css", "CSS", 0, 0, 0, 0, 0, 0, 267, 0, 0, 0, 8, 56, 331
"/media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/public/css/bootstrap-reboot.min.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 7, 0, 8
"/media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/public/css/bootstrap.css", "CSS", 0, 0, 0, 0, 0, 0, 8832, 0, 0, 0, 7, 1199, 10038
"/media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/public/css/bootstrap.min.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 6, 0, 7
"/media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/public/css/button.css", "CSS", 0, 0, 0, 0, 0, 0, 52, 0, 0, 0, 2, 12, 66
"/media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/public/css/content.css", "CSS", 0, 0, 0, 0, 0, 0, 931, 0, 0, 0, 7, 177, 1115
"/media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/public/css/erorr.css", "CSS", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 2, 10
"/media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/public/css/slide-up.css", "CSS", 0, 0, 0, 0, 0, 0, 162, 0, 0, 0, 8, 35, 205
"/media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/public/css/up.css", "CSS", 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 4, 35
"/media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/public/img/arrow_up.svg", "XML", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 2, 20
"/media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/public/img/index.svg", "XML", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 2, 16
"/media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/public/index.php", "PHP", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 30, 12, 56
"/media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/public/js/app.js", "JavaScript", 10273, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10843, 1487, 22603
"/media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/public/js/bootstrap.bundle.js", "JavaScript", 4493, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1359, 1162, 7014
"/media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/public/js/bootstrap.bundle.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 7
"/media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/public/js/bootstrap.js", "JavaScript", 3262, 0, 0, 0, 0, 0, 0, 0, 0, 0, 332, 842, 4436
"/media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/public/js/bootstrap.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 7
"/media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/public/js/jquery.animateNumber.min.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 1, 9
"/media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/public/js/jquery.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2
"/media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/public/js/logIn.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20
"/media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/public/js/popper.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 2, 7
"/media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/public/js/script.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
"/media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/public/mix-manifest.json", "JSON", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 5
"/media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/public/nice/bootstrap/css/bootstrap.css", "CSS", 0, 0, 0, 0, 0, 0, 6515, 0, 0, 0, 8, 13, 6536
"/media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/public/nice/bootstrap/css/bootstrap.min.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 4, 0, 5
"/media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/public/nice/bootstrap/fonts/glyphicons-halflings-regular.svg", "XML", 0, 0, 0, 288, 0, 0, 0, 0, 0, 0, 0, 0, 288
"/media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/public/nice/bootstrap/js/bootstrap.js", "JavaScript", 1549, 0, 0, 0, 0, 0, 0, 0, 0, 0, 191, 578, 2318
"/media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/public/nice/bootstrap/js/bootstrap.min.js", "JavaScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 7
"/media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/public/nice/font-awesome/css/font-awesome.css", "CSS", 0, 0, 0, 0, 0, 0, 2327, 0, 0, 0, 10, 1, 2338
"/media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/public/nice/font-awesome/css/font-awesome.min.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 1, 5
"/media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/public/nice/font-awesome/fonts/fontawesome-webfont.svg", "XML", 0, 0, 0, 2671, 0, 0, 0, 0, 0, 0, 0, 1, 2672
"/media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/public/nice/font-awesome/less/bordered-pulled.less", "Less", 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 2, 4, 17
"/media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/public/nice/font-awesome/less/core.less", "Less", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 2, 2, 12
"/media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/public/nice/font-awesome/less/fixed-width.less", "Less", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 2, 1, 7
"/media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/public/nice/font-awesome/less/font-awesome.less", "Less", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 4, 2, 18
"/media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/public/nice/font-awesome/less/icons.less", "Less", 0, 0, 0, 0, 0, 0, 0, 0, 549, 0, 2, 2, 553
"/media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/public/nice/font-awesome/less/larger.less", "Less", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 3, 2, 14
"/media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/public/nice/font-awesome/less/list.less", "Less", 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 2, 2, 20
"/media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/public/nice/font-awesome/less/mixins.less", "Less", 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 2, 4, 26
"/media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/public/nice/font-awesome/less/path.less", "Less", 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 3, 2, 15
"/media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/public/nice/font-awesome/less/rotated-flipped.less", "Less", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 4, 5, 21
"/media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/public/nice/font-awesome/less/spinning.less", "Less", 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 2, 4, 30
"/media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/public/nice/font-awesome/less/stacked.less", "Less", 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 2, 2, 21
"/media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/public/nice/font-awesome/less/variables.less", "Less", 0, 0, 0, 0, 0, 0, 0, 0, 555, 0, 3, 4, 562
"/media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/public/nice/font-awesome/scss/_bordered-pulled.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 2, 4, 17
"/media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/public/nice/font-awesome/scss/_core.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 2, 2, 12
"/media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/public/nice/font-awesome/scss/_fixed-width.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 2, 1, 7
"/media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/public/nice/font-awesome/scss/_icons.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 549, 0, 0, 2, 2, 553
"/media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/public/nice/font-awesome/scss/_larger.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 3, 2, 14
"/media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/public/nice/font-awesome/scss/_list.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 2, 2, 20
"/media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/public/nice/font-awesome/scss/_mixins.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 2, 4, 26
