Date : 2021-09-10 13:25:17
Directory : /media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp
Total : 199 files,  70156 codes, 14855 comments, 7335 blanks, all 92346 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| public/nice/font-awesome                                                                                                   |         29 |      7,493 |         79 |         75 |      7,647 |
| public/nice/font-awesome/css                                                                                               |          2 |      2,328 |         13 |          2 |      2,343 |
| public/nice/font-awesome/fonts                                                                                             |          1 |      2,671 |          0 |          1 |      2,672 |
| public/nice/font-awesome/less                                                                                              |         13 |      1,247 |         33 |         36 |      1,316 |
| public/nice/font-awesome/scss                                                                                              |         13 |      1,247 |         33 |         36 |      1,316 |
| public/nice/js                                                                                                             |          1 |          3 |          1 |          1 |          5 |
| resources                                                                                                                  |         38 |      2,236 |        100 |        444 |      2,780 |
| resources/css                                                                                                              |          1 |          3 |          0 |          1 |          4 |
| resources/js                                                                                                               |          2 |          7 |         18 |         12 |         37 |
| resources/lang                                                                                                             |          4 |        138 |         60 |         24 |        222 |
| resources/lang/en                                                                                                          |          4 |        138 |         60 |         24 |        222 |
| resources/markdown                                                                                                         |          2 |          4 |          0 |          4 |          8 |
| resources/views                                                                                                            |         29 |      2,084 |         22 |        403 |      2,509 |
| resources/views/api                                                                                                        |          2 |        156 |          0 |         28 |        184 |
| resources/views/auth                                                                                                       |          7 |        271 |          0 |         59 |        330 |
| resources/views/errors                                                                                                     |          1 |        531 |         20 |         78 |        629 |
| resources/views/layouts                                                                                                    |          2 |         56 |          0 |         16 |         72 |
| resources/views/livewire                                                                                                   |          3 |        150 |          0 |         34 |        184 |
| resources/views/profile                                                                                                    |          8 |        409 |          0 |         88 |        497 |
| routes                                                                                                                     |          4 |         32 |         40 |         25 |         97 |
| tests                                                                                                                      |         17 |        564 |         15 |        191 |        770 |
| tests/Feature                                                                                                              |         14 |        535 |          5 |        177 |        717 |
| tests/Unit                                                                                                                 |          1 |         10 |          5 |          4 |         19 |
| vendor                                                                                                                     |          2 |         17 |         27 |          1 |         45 |
| vendor/facade                                                                                                              |          2 |         17 |         27 |          1 |         45 |
| vendor/facade/ignition                                                                                                     |          2 |         17 |         27 |          1 |         45 |
| vendor/facade/ignition/resources                                                                                           |          2 |         17 |         27 |          1 |         45 |
| vendor/facade/ignition/resources/compiled                                                                                  |          2 |         17 |         27 |          1 |         45 |
+----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                   | language   | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/.styleci.yml                                                                    | YAML       |         13 |          0 |          1 |         14 |
| /media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/README.md                                                                       | Markdown   |         43 |          0 |         21 |         64 |
| /media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/app/Actions/Fortify/CreateNewUser.php                                           | PHP        |         25 |          6 |          6 |         37 |
| /media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/app/Actions/Fortify/PasswordValidationRules.php                                 | PHP        |         10 |          5 |          4 |         19 |
